_id,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,USUARIOID,MANTENIMEINTOID
INC-1,DESGASTE,2024-06-04T00:00:00Z,CERRADA,"['877-15-7376', '467-34-2729']",['MNT-13905']
INC-10,ROTURA,2024-08-14T00:00:00Z,CERRADA,['593-69-8841'],['MNT-05048']
INC-100,VANDALISMO,2024-05-19T00:00:00Z,CERRADA,['770-24-2945'],['MNT-06864']
INC-1000,ROTURA,2023-11-12T00:00:00Z,CERRADA,"['038-36-3587', '537-40-9666', '467-77-6032']",['MNT-08483']
INC-10000,VANDALISMO,2024-09-28T00:00:00Z,ABIERTA,['963-84-6398'],['MNT-06483']
INC-10001,VANDALISMO,2023-06-11T00:00:00Z,CERRADA,['899-86-1350'],['MNT-03739']
INC-10002,MAL FUNCIONAMIENTO,2024-07-18T00:00:00Z,CERRADA,['990-20-0548'],"['MNT-06632', 'MNT-09170']"
INC-10003,ROTURA,2024-03-25T00:00:00Z,ABIERTA,['424-24-7008'],['MNT-03899']
INC-10004,DESGASTE,2024-07-02T00:00:00Z,CERRADA,['808-65-2576'],['MNT-00894']
INC-10005,MAL FUNCIONAMIENTO,2024-06-03T00:00:00Z,CERRADA,['122-63-4873'],['MNT-02809']
INC-10006,ROTURA,2023-11-16T00:00:00Z,ABIERTA,['078-86-1962'],['MNT-02421']
INC-10007,VANDALISMO,2024-07-04T00:00:00Z,ABIERTA,['897-13-6722'],['MNT-03050']
INC-10008,VANDALISMO,2023-10-16T00:00:00Z,CERRADA,['003-25-0298'],['MNT-00451']
INC-10009,MAL FUNCIONAMIENTO,2024-01-05T00:00:00Z,ABIERTA,['796-07-0042'],['MNT-06152']
INC-1001,DESGASTE,2024-09-17T00:00:00Z,CERRADA,"['518-10-1580', '035-88-2675']",['MNT-13230']
INC-10010,MAL FUNCIONAMIENTO,2024-09-10T00:00:00Z,CERRADA,['916-97-4606'],['MNT-05229']
INC-10011,DESGASTE,2023-10-29T00:00:00Z,ABIERTA,['172-51-8192'],['MNT-09681']
INC-10012,DESGASTE,2024-07-05T00:00:00Z,CERRADA,['081-68-6730'],"['MNT-12293', 'MNT-13488']"
INC-10013,ROTURA,2024-05-31T00:00:00Z,ABIERTA,['450-06-2508'],['MNT-02317']
INC-10014,DESGASTE,2024-05-04T00:00:00Z,ABIERTA,['175-67-0449'],['MNT-07404']
INC-10015,MAL FUNCIONAMIENTO,2024-03-21T00:00:00Z,CERRADA,['297-22-4917'],['MNT-08248']
INC-10016,DESGASTE,2024-02-01T00:00:00Z,CERRADA,['710-78-0809'],"['MNT-00977', 'MNT-01148']"
INC-10017,ROTURA,2023-11-24T00:00:00Z,CERRADA,['473-06-2525'],['MNT-14732']
INC-10018,MAL FUNCIONAMIENTO,2024-05-07T00:00:00Z,CERRADA,['351-27-5254'],['MNT-09172']
INC-10019,ROTURA,2023-12-20T00:00:00Z,ABIERTA,['975-79-9239'],['MNT-08907']
INC-1002,MAL FUNCIONAMIENTO,2024-08-25T00:00:00Z,CERRADA,"['865-43-9935', '689-59-4026']",['MNT-05807']
INC-10020,MAL FUNCIONAMIENTO,2023-11-21T00:00:00Z,ABIERTA,['577-32-6026'],['MNT-12585']
INC-10021,ROTURA,2024-02-02T00:00:00Z,ABIERTA,['302-82-6972'],['MNT-12419']
INC-10022,MAL FUNCIONAMIENTO,2023-12-17T00:00:00Z,ABIERTA,['976-90-5556'],['MNT-12042']
INC-10023,DESGASTE,2024-12-02T00:00:00Z,CERRADA,['908-32-3982'],['MNT-13042']
INC-10024,ROTURA,2024-02-10T00:00:00Z,CERRADA,['984-90-6560'],['MNT-06442']
INC-10025,DESGASTE,2024-09-30T00:00:00Z,ABIERTA,['091-11-1706'],['MNT-04056']
INC-10026,MAL FUNCIONAMIENTO,2024-04-21T00:00:00Z,ABIERTA,['238-55-0294'],['MNT-11808']
INC-10027,MAL FUNCIONAMIENTO,2023-11-08T00:00:00Z,CERRADA,['215-38-4429'],['MNT-02079']
INC-10028,DESGASTE,2023-11-05T00:00:00Z,CERRADA,['357-13-7624'],"['MNT-05696', 'MNT-06313', 'MNT-13262']"
INC-10029,ROTURA,2023-10-25T00:00:00Z,CERRADA,['411-12-5525'],"['MNT-10102', 'MNT-12938']"
INC-1003,VANDALISMO,2023-06-12T00:00:00Z,CERRADA,['360-18-5771'],['MNT-08268']
INC-10030,VANDALISMO,2024-09-18T00:00:00Z,CERRADA,['217-67-3298'],['MNT-06633']
INC-10031,DESGASTE,2023-11-09T00:00:00Z,CERRADA,['165-74-0152'],['MNT-04113']
INC-10032,MAL FUNCIONAMIENTO,2024-07-03T00:00:00Z,CERRADA,['014-11-1873'],['MNT-03433']
INC-10033,MAL FUNCIONAMIENTO,2024-01-05T00:00:00Z,CERRADA,['572-15-1764'],['MNT-09236']
INC-10034,VANDALISMO,2024-08-31T00:00:00Z,CERRADA,['774-27-9487'],['MNT-10395']
INC-10035,ROTURA,2024-01-07T00:00:00Z,ABIERTA,['709-88-3221'],['MNT-04636']
INC-10036,ROTURA,2024-03-18T00:00:00Z,ABIERTA,['865-12-2214'],['MNT-04571']
INC-10037,VANDALISMO,2024-04-23T00:00:00Z,ABIERTA,['960-37-8887'],['MNT-07913']
INC-10038,MAL FUNCIONAMIENTO,2024-03-10T00:00:00Z,CERRADA,['149-88-0964'],['MNT-06757']
INC-10039,VANDALISMO,2023-12-26T00:00:00Z,ABIERTA,['898-20-7177'],['MNT-01167']
INC-1004,MAL FUNCIONAMIENTO,2024-04-18T00:00:00Z,ABIERTA,['776-46-1299'],['MNT-13645']
INC-10040,DESGASTE,2024-01-13T00:00:00Z,CERRADA,['947-69-1806'],['MNT-14777']
INC-10041,VANDALISMO,2024-08-30T00:00:00Z,ABIERTA,['284-58-5139'],['MNT-03762']
INC-10042,MAL FUNCIONAMIENTO,2024-02-05T00:00:00Z,CERRADA,['632-35-7992'],['MNT-10236']
INC-10043,DESGASTE,2024-03-13T00:00:00Z,CERRADA,['895-45-9745'],['MNT-14234']
INC-10044,VANDALISMO,2024-02-14T00:00:00Z,ABIERTA,['699-26-1099'],"['MNT-06192', 'MNT-11060']"
INC-10045,VANDALISMO,2024-06-06T00:00:00Z,ABIERTA,['147-50-6649'],['MNT-11994']
INC-10046,MAL FUNCIONAMIENTO,2023-12-15T00:00:00Z,CERRADA,['218-41-2899'],"['MNT-07547', 'MNT-10212']"
INC-10047,ROTURA,2024-09-09T00:00:00Z,ABIERTA,['814-63-1000'],"['MNT-01848', 'MNT-10449']"
INC-10048,VANDALISMO,2024-05-20T00:00:00Z,CERRADA,['294-78-3901'],"['MNT-09078', 'MNT-11931']"
INC-10049,ROTURA,2023-11-30T00:00:00Z,CERRADA,['084-51-4217'],['MNT-08150']
INC-1005,VANDALISMO,2023-10-28T00:00:00Z,ABIERTA,"['502-32-5406', '215-38-1014', '835-10-4331']",['MNT-03623']
INC-10050,MAL FUNCIONAMIENTO,2024-08-30T00:00:00Z,ABIERTA,['484-00-4826'],['MNT-12228']
INC-10051,DESGASTE,2023-12-26T00:00:00Z,CERRADA,['360-12-4745'],['MNT-13162']
INC-10052,MAL FUNCIONAMIENTO,2024-08-19T00:00:00Z,CERRADA,['941-06-5512'],['MNT-04100']
INC-10053,MAL FUNCIONAMIENTO,2024-08-17T00:00:00Z,CERRADA,['721-46-2890'],['MNT-03678']
INC-10054,VANDALISMO,2024-03-27T00:00:00Z,ABIERTA,['350-87-3230'],['MNT-06954']
INC-10055,ROTURA,2023-12-12T00:00:00Z,CERRADA,['627-41-5319'],['MNT-07689']
INC-10056,VANDALISMO,2024-04-04T00:00:00Z,CERRADA,['374-09-5099'],['MNT-02859']
INC-10057,ROTURA,2024-08-03T00:00:00Z,CERRADA,['459-61-4620'],['MNT-14328']
INC-10058,MAL FUNCIONAMIENTO,2023-10-31T00:00:00Z,CERRADA,['089-79-8824'],['MNT-00299']
INC-10059,DESGASTE,2024-05-07T00:00:00Z,ABIERTA,['709-78-6830'],"['MNT-05865', 'MNT-08461']"
INC-1006,ROTURA,2024-07-31T00:00:00Z,ABIERTA,"['472-43-4756', '369-74-2189', '726-01-8008']",['MNT-11720']
INC-10060,VANDALISMO,2024-03-26T00:00:00Z,ABIERTA,['514-51-2565'],['MNT-12789']
INC-10061,MAL FUNCIONAMIENTO,2024-06-19T00:00:00Z,ABIERTA,['862-54-8660'],['MNT-12564']
INC-10062,VANDALISMO,2024-09-24T00:00:00Z,ABIERTA,['152-83-5242'],['MNT-14012']
INC-10063,VANDALISMO,2024-04-20T00:00:00Z,ABIERTA,['943-01-0737'],"['MNT-04481', 'MNT-13317']"
INC-10064,DESGASTE,2024-06-19T00:00:00Z,CERRADA,['297-65-5090'],"['MNT-06200', 'MNT-08402']"
INC-10065,ROTURA,2024-09-24T00:00:00Z,ABIERTA,['811-28-7362'],['MNT-08004']
INC-10066,DESGASTE,2024-09-15T00:00:00Z,CERRADA,['806-12-5341'],['MNT-11824']
INC-10067,DESGASTE,2024-07-10T00:00:00Z,ABIERTA,['286-39-0522'],"['MNT-01009', 'MNT-06578']"
