ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimeintoID
1,Desgaste,04-06-2024,Cerrada,"['877-15-7376', '467-34-2729']",['MNT-13905']
2,Desgaste,18-10-2023,Abierta,"['592-42-6016', '339-07-9203']",['MNT-00687']
3,Rotura,27/07/2024,Cerrada,"['012-65-0978', '976-02-8152']",['MNT-00376']
4,Vandalismo,12-25-2023,Cerrada,"['588-11-9551', '532-78-5662', '166-45-6290']",['MNT-02131']
5,Mal funcionamiento,01-14-2024,Cerrada,"['004-60-5880', '563-73-1437']","['MNT-05277', 'MNT-08362']"
6,Mal funcionamiento,16-06-2024,Cerrada,['243-58-3707'],['MNT-00817']
7,Mal funcionamiento,2023-11-29,Abierta,"['568-97-1438', '060-60-3082']",['MNT-13919']
8,Desgaste,11/07/2024,Abierta,"['796-05-5365', '885-57-6046']",['MNT-12758']
9,Mal funcionamiento,03-30-2024,Cerrada,"['845-09-0809', '326-82-2881']",['MNT-01303']
10,Rotura,14-08-2024,Cerrada,['593-69-8841'],['MNT-05048']
11,Vandalismo,2024-10-10,Cerrada,"['090-00-7405', '071-19-1066', '229-65-4862']","['MNT-07427', 'MNT-14453']"
12,Desgaste,17-12-2023,Cerrada,['176-13-0825'],['MNT-10750']
13,Mal funcionamiento,20-07-2024,Cerrada,"['766-49-4521', '178-54-7373', '885-67-2471']","['MNT-03278', 'MNT-11201']"
14,Desgaste,09-27-2024,Cerrada,['597-15-0862'],['MNT-14451']
15,Desgaste,25-10-2023,Cerrada,"['362-42-8620', '718-53-6721']","['MNT-04397', 'MNT-04960']"
16,Desgaste,2024/01/20,Abierta,['199-84-4323'],['MNT-00498']
17,Vandalismo,09-07-2024,Abierta,"['095-45-4865', '707-18-9915', '799-14-3002']",['MNT-10246']
18,Mal funcionamiento,2024-02-06,Cerrada,['813-75-9847'],['MNT-11472']
19,Desgaste,11-02-2024,Cerrada,"['474-19-4063', '458-07-3973', '990-13-7252']","['MNT-01733', 'MNT-11172']"
20,Vandalismo,2024-05-01,Cerrada,['629-15-3222'],['MNT-10095']
21,Mal funcionamiento,21-10-2023,Abierta,"['282-52-9975', '384-61-9704']",['MNT-09042']
22,Mal funcionamiento,10-06-2024,Cerrada,['096-22-0670'],['MNT-11353']
23,Rotura,2024/01/27,Abierta,"['604-91-2343', '406-56-3619', '307-27-1424']",['MNT-09042']
24,Mal funcionamiento,28-09-2024,Abierta,['948-96-6590'],"['MNT-03568', 'MNT-09550']"
25,Mal funcionamiento,2023/12/24,Abierta,['566-61-3591'],['MNT-03597']
26,Desgaste,05-08-2024,Cerrada,"['500-90-6672', '245-63-5707', '317-56-5131']",['MNT-00821']
27,Desgaste,01-10-2024,Cerrada,"['112-42-8189', '370-99-8984', '367-10-4674']",['MNT-06922']
28,Mal funcionamiento,2023/10/28,Abierta,"['249-99-1099', '404-10-1370']",['MNT-06286']
